row_id,publishers
124361,Ediciones MasQueOca
124361,Egmont Polska
124361,GémKlub Kft.
124361,Heidelberger Spieleverlag
124361,Korea Boardgames
124361,Laguna
124361,Lex Games
124361,"New Games Order, LLC"
124361,Playfun Games
124361,Rio Grande Games
124361,Ystari Games
312484,Czech Games Edition (CGE)
312484,Brädspel.se
312484,Cranio Creations
312484,Devir
312484,DiceTree Games
312484,Fantasmagoria
312484,GaGa Games
312484,Games4you
312484,GémKlub Kft.
312484,Goblin Gaming
312484,HeidelBÄR Games
312484,Hobby Japan
312484,IELLO
312484,Kaissa Chess & Games
312484,Lautapelit.fi
312484,Lex Games
312484,Lord of Boards
312484,MINDOK
312484,"More Fun Co., Ltd."
312484,One Moment Games
312484,Rebel Sp. z o.o.
312484,Spilbræt.dk
312484,White Goblin Games
341169,eggertspiele
341169,Arclight Games
341169,CoolPlay
341169,Delta Vision Publishing
341169,Ediciones MasQueOca
341169,Galápagos Jogos
341169,Ghenos Games
341169,Korea Boardgames
341169,Lacerta
341169,Rebel Sp. z o.o.
341169,Yayoi The Dreamer
341169,Zvezda
341169,本长文化
205637,Fantasy Flight Games
205637,Arclight Games
205637,asmodee
205637,Asterion Press
205637,Edge Entertainment
205637,Galakta
205637,Galápagos Jogos
205637,Heidelberger Spieleverlag
205637,Hobby World
205637,Korea Boardgames
205637,Tower Tactic Games
205637,Ігромаг
373106,Scorpion Masqué
373106,999 Games
373106,ADC Blackfire Entertainment
373106,asmodee
373106,Brädspel.se
373106,Galápagos Jogos
373106,Games4you
373106,Geekach LLC
373106,Hachette Boardgames USA
373106,Kaissa Chess & Games
373106,KOSMOS
373106,Lautapelit.fi
373106,Lavka Games
373106,Lucky Duck Games
373106,NeoTroy Games
373106,Reflexshop
373106,Regatul Jocurilor
373106,Salta da Caixa
373106,Spilbræt.dk
373106,Sugorokuya
373106,Tabletop KZ
373106,YOKA Games
237182,Leder Games
237182,2Tomatoes Games
237182,Arclight Games
237182,CMON Global Limited
237182,CrowD Games
237182,Delta Vision Publishing
237182,Fox in the Box
237182,Kilogames
237182,Korea Boardgames
237182,MeepleBR
237182,MS Edizioni
237182,Portal Games
237182,Quality Beast
237182,Spielworxx
237182,Tower Tactic Games
237182,YOKA Games
120677,Feuerland Spiele
120677,Bard Centrum Gier
120677,Capstone Games
120677,Cranio Creations
120677,Devir
120677,Filosofia Éditions
120677,FunBox Jogos
120677,GémKlub Kft.
120677,HomoLudicus
120677,Mandala Jogos
120677,MINDOK
120677,"Swan Panasia Co., Ltd."
120677,テンデイズゲームズ (TendaysGames)
120677,White Goblin Games
120677,Z-Man Games
120677,Zvezda
164928,dlp games
