row_id,designers
370591,Michael Palm
370591,Lukas Zach
127060,Stefan Feld
331106,Łukasz Woźniak
760,Reiner Knizia
291572,Cole Wehrle
204583,Bruno Cathala
140620,Cédrick Chaboussit
298047,Andrea Chiarvesio
298047,Eric M. Lang
27708,Christian Leonhard
27708,Jason Matthews
2655,John Yianni
206718,Paolo Mori
318184,Nigel Buckle
318184,Dávid Turczi
246784,Hal Duncan
246784,Ruth Veevers
305096,Stan Kordonskiy
144344,Matthias Cramer
144344,Stefan Malz
144344,Louis Malz
223321,Jakub Łapot
223321,Przemysław Rymer
223321,Ignacy Trzewiczek
262211,Josh J. Carlson
262211,Adam Carlson
262211,Josh Wielgus
27833,Martin Wallace
50,Reiner Knizia
239188,David Cicurel
350316,S J Macdonald
350316,Shem Phillips
342810,Stefan Feld
139976,Sandy Petersen
139976,Lincoln Petersen
46213,(Uncredited)
108745,Régis Bonnessée
92828,Jean-Louis Roubira
385529,Eric Hong
332800,Colby Dauch
146508,Peggy Chassenet
146508,Manuel Rozoy
172,Stefan Dorra
257499,Nikki Valens
257499,Richard Launius
257499,Kevin Wilson
160477,Shimpei Sato
111341,Jeroen Doumen
111341,Joris Wiersinga
302723,Mr. Bistro
302723,J. Arthur Ellis
302723,Isaac Vega
350933,Matthew Dunstan
350933,Brett J. Gilbert
333255,Luís Brueh
5,Sid Sackson
276182,John D. Clair
295374,Chris Handy (I)
155068,Thiago Aranha
155068,Guilherme Goulart
155068,Eric M. Lang
155068,Fred Perret
66589,Mac Gerdts
129622,Seiji Kanai
176734,Tom Jolly
176734,Luke Laurie
308119,Phil Eklund
308119,Matt Eklund
24181,Mac Gerdts
446497,Jon Perry
319966,Peer Sylvester
97207,Vlaada Chvátil
345972,Muneyuki Yokouchi (横内宗幸)
260180,Michal Mikeš
260180,Jan Soukal
260180,Adam Španěl
2653,Julian Courtland-Smith
311988,Adam Kwapiński
47,Karsten Hartwig
38453,Vlaada Chvátil
54,Michael Kiesling
54,Wolfgang Kramer
63888,Carl Chudyk
379078,Jamey Stegmaier
184921,Richard Garfield
411567,John Cooper
411567,Kory Heath
234277,Uwe Rosenberg
209685,Emerson Matsuuchi
22545,Glenn Drover
136888,Stefan Feld
143693,Uwe Rosenberg
227789,Michael Kiesling
227789,Andreas Schmidt
155873,Friedemann Friese
354934,Shem Phillips
163967,Scott Almes
202426,TauCeti Deichmann
245655,Hjalmar Hach
245655,Lorenzo Silva
154203,Ignacy Trzewiczek
336986,Manny Vega
188866,Ron Gonzalo García
301880,Shem Phillips
54138,Mac Gerdts
181279,Frank Brooks
181279,Stephen Hand
181279,Kevin Wilson
336382,Andrea Chiarvesio
336382,Eric M. Lang
336382,Francesco Rugerfred Sedda
187617,Chris Taylor (I)
187617,Alan Emrich
40692,Philippe Keyaerts
93260,Colby Dauch
285192,Michał Gołąb Gołębiowski
285192,Filip Miłuński
219650,Cody Miller
219650,Ira Fay
318084,Ivan Lashin
48726,Tory Niemann
271601,Maikel Cheney
271601,Dr. Hans Joachim Höh
271601,Tobias Immich
59294,Corey Konieczka
434654,Paolo Mori
434654,Alessandro Zucchini
203420,Inka Brand
203420,Markus Brand
21241,Michał Oracz
246192,Phil Walker-Harding
304420,Stefan Feld
25292,Kasper Aagaard
25292,Christian Marcussen
172081,Tim Fowers
345584,Skaff Elias
345584,Richard Garfield
345584,Marvin Hegen
345584,Christian Kudahl
384213,Matthew O'Malley
384213,Ben Rosset
219513,Phil Walker-Harding
247367,Jon Perry
172818,Ryan Laukat
274638,Rob Daviau
274638,Justin D. Jacobson
39856,Jean-Louis Roubira
193037,Jonathan Gilmour-Long
193037,Isaac Vega
77130,Kevin Wilson
397385,Ralph Bienert
397385,Ryan Hendrickson
397385,Alexander Pfister
176920,Bruno Cathala
176920,Bruno Faidutti
368173,Josh Wood
128271,Xavier Georges
297030,Daniele Tascini
297030,Dávid Turczi
372,Reiner Knizia
40354,Richard Sivél
140934,Dan Cassar
45315,Vlaada Chvátil
59959,Gabriele Mari
59959,Gianluca Santopietro
13122,Jeroen Doumen
13122,Joris Wiersinga
70919,Antoine Bauza
155987,Bruno Cathala
155987,Charles Chevallier
351040,John D. Clair
8217,Andreas Seyfarth
199042,Sean Fletcher
199042,Forrest-Pruzan Creative
199042,Kami Mandell
199042,Andrew Wolf
246684,Ivan Lashin
245934,Stefan Feld
181304,Oleksandr Nevskiy
181304,Oleg Sidorenko
334986,Matt Leacock
334986,Matteo Menapace
417197,Reiner Knizia
90137,Jay Little
408180,Fabio Lopiano
408180,Nestore Mangone
357563,Jules Messaud
195539,Eric M. Lang
146439,Richard Borg
146439,Robert A. Kouba
319910,Kasper Kjær Christiansen
319910,Kåre Storgaard
119890,Uwe Rosenberg
303057,Prospero Hall
303057,Peter Lee
318182,Nigel Buckle
318182,Dávid Turczi
37046,Antoine Bauza
334590,Wilhelm Su
41114,Don Eskridge
436126,David Gordon (I)
436126,Michael O'Connell (II)
552,Jeroen Doumen
552,Joris Wiersinga
269210,Wolfgang Warsch
24480,Michael Rieneck
24480,Stefan Stadler
25554,Stefan Feld
244711,Simone Luciani
244711,Nestore Mangone
163745,James Kniffen
163745,Christian T. Petersen
290484,Tom Mattson
290484,Marc Neidlinger
260428,Matt Leacock
260428,Paolo Mori
284742,Paul Salomon
177478,Koota Yamada
206480,Ananda Gupta
206480,Jason Matthews
386368,S J Macdonald
386368,Shem Phillips
385610,Ondřej Bystroň
385610,Petr Čáslava
385610,Pavel Jarosch
365258,Zé Mendes
234487,Reiner Stockhausen
15987,Richard Launius
15987,Kevin Wilson
39683,Uwe Rosenberg
250458,Andreas Steding
9217,Bernd Brunnhofer
342900,Andrew Fischer
342900,Brooks Flugaur-Leavitt
342900,Andrew Navaro
342900,Adam Sadler
342900,Brady Sadler
335764,Noah Cohen
335764,Rob Daviau
335764,Justin D. Jacobson
335764,Chris Leder
335764,Brian Neff
335764,Kevin Rodgers
192458,Ignacy Trzewiczek
367498,R. Eric Reuss
322708,Kara Centell-Dunk
322708,Nathan I. Hajek
234,Mark Simonitch
222509,Adam Kwapiński
343905,Alexander Pfister
92415,Hervé Marly
70323,Richard Garfield
352515,宮野 華也 (Kaya Miyano)
318243,Marcus Carleson
194594,Régis Bonnessée
236191,Martin Wallace
368305,Jamie Bloom
286751,Raphaël Guiton
286751,Jean-Baptiste Lullien
286751,Nicolas Raoult
101721,Bryan Pope
101721,Benjamin Pope
454103,Richard Garfield
454103,Takashi Ishida
367041,S J Macdonald
367041,Shem Phillips
315610,Alex Olteanu
315610,Marco Portugal
258210,Paolo Mori
