bgg_id,best,recommended,not_recommended
336794,4,2,1
406652,2,1,2+
117959,4,3,1
318009,2,1,4+
105134,5,4,2
712,2,2+,1
245654,2,5,6+
156009,4,2,1
284435,2,3,4+
232414,3,2,1
387866,2,3,1
84419,2,1,4+
142379,4,3,5+
197376,6,5,6+
9674,2,3,4+
424219,2,4,1
144797,3,2,1
425549,4,2,5+
177639,2,2,1
218074,3,1,5+
415776,1,1+,1+
153938,5,3,1
28023,6,4,1
252328,2,2+,1
196326,4,3,1
62227,2,1,2+
97786,4,5,1
31999,2,2,1
91312,4,3,1
31730,4,3,2
18,5,3,1
280794,2,3,4+
128996,4,3,1
146791,4,2,4+
245961,2,1,4+
133473,4,3,1
170624,3,2,1
262215,3,2,4+
296237,1,1+,1+
181530,2,1,4+
17405,4,3,1
125618,4,3,2
171668,4,3,1
170561,3,2,5
183251,4,2,1
341945,3,1,4+
119506,3,1,4+
97842,4,2,1
346965,2,3,1
172308,4,3,1
307305,1,2,4+
163968,3,2,1
432,5,4,1
90419,4,3,1
264055,4,3,1
127398,4,2,4+
284777,2,2+,1
147949,6,5,1
206941,4,2,1
2346,2,2,1
248490,4,2,7+
221965,2,2,1
15985,2,2+,1
27173,3,2,1
362944,4,2,1
102652,4,3,5+
133848,4,3,1
256999,4,2,1
4390,2,4,1
65781,3,4,1
380619,4,3,1
328866,3,3,1
475,4,3,1
22827,4,3,1
15363,4,2,1
213460,2,3,6+
265402,3,2,1
304051,2,3,5
346501,4,3,2
34119,3,2,6
105551,4,3,5+
95527,4,2,1
151022,2,1,3
699,5,3,1
232043,2,3,1
347703,4,2,5+
281655,3,2,5+
237179,3,2,4+
27746,5,3,1
216734,2,3,1
133038,4,2,4+
345868,4,3,1
131357,5,4,1
42215,4,3,1
36553,6,4,1
193949,3+,3,1
46,5,4,2
130960,3,2,1
354570,2,1,2+
266121,2,1,6+
337765,4,3,1
42052,4,2,1
269511,3,2,4+
244115,2,3,4+
363247,2,4,1
23540,4,3,1
355483,4,3,1
159508,4,2,1
128780,4,2,6
5782,4,3,1
369880,2,1,2+
111799,4,2,4+
58421,4,3,1
440540,4,2,1
291845,2,1,4+
298383,2,4,4+
875,2,1,4+
370913,3,1,5+
190082,2,3,1
329551,4,3,1
286063,1,2,4+
192836,2,1,4
298231,4,3,1
141572,2,4,5+
403441,3,2,4+
39351,5,4,2
244114,4,3,1
270673,4,2,1
9625,7,4,2
153016,12,6,1
2398,2,3,1
224710,3,1,6+
140603,5,4,1
399941,3,2,1
30869,3,2,1
135779,6,5,1
113924,3,1,6+
123123,2,4,5+
328479,3,2,1
334065,2,4,5+
273330,2,3,4+
6472,5,4,3
41,3,2,1
13004,4,3,1
39938,4,3,1
160010,4,3,1
37904,6,4,1
10547,5,3,1
143519,4,3,1
347305,3,2,4+
262941,4,2,1
135219,2,2,1
