row_id,categories
169786,Territory Building
177736,Animals
177736,Farming
177736,Industry / Manufacturing
177736,Medieval
177736,Puzzle
266507,Adventure
266507,Fantasy
124361,Ancient
124361,Economic
124361,Nautical
312484,Adventure
312484,Card Game
312484,Exploration
312484,Fantasy
341169,American West
341169,Animals
205637,Adventure
205637,Card Game
205637,Collectible Components
205637,Exploration
205637,Horror
205637,Novel-based
373106,Aviation / Flight
373106,Dice
237182,Animals
237182,Fantasy
237182,Negotiation
237182,Territory Building
237182,Wargame
120677,Civilization
120677,Economic
120677,Fantasy
120677,Territory Building
164928,Medieval
164928,Religious
164928,Travel
192135,Adventure
192135,Dice
192135,Fantasy
192135,Fighting
266192,Animals
266192,Card Game
266192,Educational
96848,Adventure
96848,Exploration
96848,Fantasy
96848,Fighting
251247,Economic
251247,Environmental
251247,Industry / Manufacturing
321608,Economic
321608,Educational
321608,Negotiation
321608,Political
199792,Animals
199792,Card Game
199792,City Building
199792,Fantasy
324856,Adventure
324856,Card Game
324856,Mythology
324856,Nautical
183394,Economic
183394,Farming
284378,Economic
284378,Industry / Manufacturing
521,Action / Dexterity
366013,Racing
366013,Sports
285774,Card Game
285774,Collectible Components
285774,Comic Book / Strip
285774,Fighting
175914,Economic
175914,Industry / Manufacturing
390092,American West
390092,Trains
247763,Card Game
247763,City Building
247763,Industry / Manufacturing
247763,Nautical
247763,Science Fiction
365717,Adventure
365717,Exploration
365717,Fantasy
256960,Economic
256960,Educational
256960,Negotiation
256960,Political
256960,Post-Napoleonic
256960,Spies / Secret Agents
253344,Fantasy
253344,Fighting
253344,Horror
253344,Miniatures
253344,Novel-based
414317,Abstract Strategy
414317,Animals
414317,Environmental
414317,Puzzle
383179,Civilization
383179,Economic
383179,Fantasy
383179,Territory Building
3076,City Building
3076,Economic
3076,Farming
184267,City Building
184267,Economic
184267,Exploration
184267,Science Fiction
184267,Space Exploration
184267,Territory Building
295947,Animals
295947,Environmental
314040,Medical
314040,Spies / Secret Agents
185343,Economic
185343,Science Fiction
102794,Animals
102794,Economic
102794,Fantasy
102794,Farming
251661,Adventure
251661,Card Game
251661,Dice
251661,Exploration
251661,Fantasy
251661,Fighting
251661,Miniatures
251661,Mythology
251661,Puzzle
31260,Animals
31260,Economic
31260,Farming
170216,Fantasy
170216,Fighting
170216,Miniatures
170216,Mythology
231733,Post-Napoleonic
240980,Bluffing
240980,Deduction
240980,Murder / Mystery
240980,Party Game
182874,Economic
161533,City Building
161533,Economic
161533,Industry / Manufacturing
161533,Political
221107,Environmental
221107,Exploration
221107,Medical
221107,Science Fiction
255984,Adventure
255984,Exploration
255984,Fantasy
255984,Fighting
255984,Nautical
371942,Dice
371942,Economic
371942,Medieval
126163,Ancient
126163,Civilization
126163,Economic
126163,Farming
126163,Mythology
2651,Economic
2651,Industry / Manufacturing
216132,Economic
216132,Farming
205059,Adventure
205059,Exploration
205059,Fantasy
205059,Fighting
205059,Horror
205059,Miniatures
205059,Murder / Mystery
205059,Mythology
205059,Novel-based
205059,Puzzle
380607,Animals
244521,Fantasy
244521,Medieval
266810,Medieval
367966,Environmental
367966,Exploration
367966,Nautical
35677,City Building
35677,Economic
35677,Industry / Manufacturing
35677,Nautical
125153,Economic
124742,Bluffing
124742,Card Game
124742,Collectible Components
124742,Science Fiction
200680,Animals
200680,Economic
200680,Farming
337627,Civilization
337627,Economic
337627,Science Fiction
337627,Space Exploration
164153,Adventure
164153,Exploration
164153,Fighting
164153,Miniatures
164153,Movies / TV / Radio theme
164153,Science Fiction
164153,Wargame
276025,Economic
276025,Exploration
276025,Nautical
276025,Pirates
366161,Animals
366161,Economic
366161,Educational
322289,Exploration
322289,Travel
209010,Fantasy
209010,Fighting
209010,Miniatures
209010,Video Game Theme
332772,Civilization
332772,Exploration
332772,Industry / Manufacturing
332772,Science Fiction
436217,Fantasy
436217,Novel-based
284083,Card Game
284083,Science Fiction
284083,Space Exploration
28143,Card Game
28143,Civilization
28143,Economic
28143,Science Fiction
28143,Space Exploration
55690,Adventure
55690,Fantasy
55690,Fighting
55690,Horror
55690,Mature / Adult
55690,Miniatures
55690,Mythology
157354,Arabian
157354,Fantasy
157354,Mythology
277659,Card Game
277659,Fantasy
277659,Horror
230802,Abstract Strategy
230802,Renaissance
413246,Deduction
201808,Adventure
201808,Fantasy
359871,Science Fiction
359871,Space Exploration
359871,Wargame
93,Medieval
159675,Economic
159675,Farming
159675,Industry / Manufacturing
256916,Ancient
256916,Economic
72125,Civilization
72125,Fighting
72125,Science Fiction
72125,Space Exploration
72125,Territory Building
72125,Wargame
291453,Card Game
110327,City Building
110327,Fantasy
191189,Card Game
191189,Fantasy
191189,Fighting
191189,Science Fiction
359609,Adventure
359609,Card Game
359609,Collectible Components
359609,Exploration
359609,Fantasy
359609,Horror
359609,Novel-based
229853,Ancient
229853,City Building
229853,Economic
364073,Card Game
364073,Economic
364073,Renaissance
317985,Civilization
317985,Science Fiction
317985,Space Exploration
62219,Animals
62219,Environmental
62219,Prehistoric
12,Ancient
12,Mythology
279537,Deduction
279537,Puzzle
279537,Space Exploration
225694,Deduction
225694,Party Game
225694,Spies / Secret Agents
225694,Word Game
68448,Ancient
68448,Card Game
68448,City Building
68448,Civilization
68448,Economic
25613,Civilization
25613,Economic
121921,Adventure
121921,Exploration
121921,Fighting
121921,Novel-based
121921,Territory Building
171623,Dice
171623,Economic
171623,Medieval
171623,Travel
163068,Post-Napoleonic
217372,Adventure
217372,Exploration
217372,Racing
391137,Aviation / Flight
391137,Economic
391137,Industry / Manufacturing
391137,Science Fiction
391137,Space Exploration
410201,Animals
410201,Card Game
410201,Fantasy
155821,Ancient
155821,Card Game
155821,Exploration
155821,Mythology
155821,Wargame
37111,Bluffing
37111,Deduction
37111,Movies / TV / Radio theme
37111,Negotiation
37111,Political
37111,Science Fiction
37111,Space Exploration
37111,Spies / Secret Agents
310873,Economic
310873,Industry / Manufacturing
310873,Post-Napoleonic
271055,Economic
271055,Fantasy
271055,Fighting
310100,Adventure
310100,Exploration
310100,Horror
310100,Miniatures
310100,Science Fiction
236457,City Building
236457,Economic
236457,Medieval
42,Abstract Strategy
42,Ancient
42,Civilization
42,Territory Building
40834,Card Game
40834,Medieval
227935,Fantasy
227935,Novel-based
122515,City Building
122515,Economic
122515,Renaissance
122515,Territory Building
122515,Transportation
170042,Medieval
170042,Nautical
264220,Adventure
264220,Exploration
264220,Fantasy
264220,Fighting
264220,Mature / Adult
264220,Medieval
264220,Mythology
264220,Travel
146021,Adventure
146021,Fighting
146021,Horror
146021,Novel-based
146021,Travel
18602,City Building
18602,Economic
18602,Medieval
4098,Economic
4098,Post-Napoleonic
4098,Trains
4098,Transportation
203993,Renaissance
73439,Dice
73439,Economic
73439,Medieval
396790,Economic
396790,Industry / Manufacturing
396790,Science Fiction
269385,Adventure
269385,Exploration
269385,Fantasy
269385,Fighting
269385,Novel-based
172386,Economic
172386,Post-Napoleonic
36218,Card Game
36218,Medieval
163412,Abstract Strategy
163412,Economic
163412,Puzzle
43015,Medieval
102680,Ancient
218417,Card Game
218417,Fantasy
218417,Fighting
218417,Science Fiction
12493,Civilization
12493,Negotiation
12493,Political
12493,Science Fiction
12493,Space Exploration
12493,Wargame
144733,Industry / Manufacturing
144733,Trains
391163,Animals
391163,Card Game
391163,Educational
391163,Environmental
429293,Adventure
429293,Card Game
429293,Fantasy
429293,Novel-based
205896,Bluffing
205896,Fantasy
205896,Mythology
205896,Negotiation
205896,Wargame
175640,Economic
175640,Industry / Manufacturing
196340,Economic
254640,Deduction
254640,Party Game
254640,Word Game
175155,Bluffing
175155,Fighting
175155,Science Fiction
175155,Wargame
325494,Adventure
325494,Exploration
325494,Novel-based
325494,Science Fiction
325494,Space Exploration
198928,Medical
198928,Post-Napoleonic
198928,Trains
233371,Science Fiction
178900,Card Game
178900,Deduction
178900,Party Game
178900,Spies / Secret Agents
178900,Word Game
180263,Adventure
180263,Card Game
180263,Exploration
180263,Science Fiction
189932,Fantasy
189932,Fighting
172287,Adventure
172287,Dice
172287,Fantasy
172287,Fighting
172287,Medieval
172287,Mythology
220877,Dice
220877,Economic
220877,Renaissance
220877,Territory Building
463,Card Game
463,Collectible Components
463,Fantasy
463,Fighting
258779,City Building
258779,Industry / Manufacturing
258779,Puzzle
258779,Science Fiction
258779,Space Exploration
258779,Territory Building
304783,Ancient
304783,City Building
235802,Adventure
235802,Dice
235802,Fantasy
235802,Fighting
30549,Medical
30549,Travel
132531,Civilization
132531,Dice
132531,Economic
132531,Science Fiction
132531,Space Exploration
118048,Arabian
118048,Card Game
147020,Card Game
147020,Fighting
147020,Science Fiction
209418,Card Game
209418,Medieval
266524,Animals
266524,Economic
266524,Environmental
266524,Travel
14996,Trains
161970,Deduction
161970,Fantasy
161970,Puzzle
358661,Fighting
358661,Science Fiction
358661,Space Exploration
358661,Territory Building
268864,Wargame
268864,World War II
263918,Fantasy
263918,Territory Building
249259,Abstract Strategy
249259,Medieval
249259,Wargame
262712,Card Game
262712,Fantasy
400602,Civilization
400602,Dice
400602,Economic
400602,Exploration
400602,Science Fiction
271324,Card Game
271324,Civilization
271324,Economic
271324,Science Fiction
77423,Adventure
77423,Card Game
77423,Collectible Components
77423,Fantasy
77423,Novel-based
274364,Card Game
274364,Political
34635,Dice
34635,Economic
34635,Prehistoric
328871,Card Game
328871,Science Fiction
328871,Space Exploration
294484,Card Game
294484,Fantasy
294484,Fighting
294484,Horror
294484,Novel-based
148949,Economic
308765,City Building
308765,Medieval
308765,Puzzle
271896,Adventure
271896,Exploration
271896,Movies / TV / Radio theme
271896,Science Fiction
271896,Space Exploration
364011,Animals
281259,Animals
281259,Fantasy
281259,Nautical
281259,Pirates
281259,Puzzle
82222,Adventure
82222,Exploration
82222,Fighting
82222,Science Fiction
82222,Space Exploration
82222,Transportation
296151,Medieval
146652,Card Game
146652,Fighting
146652,Horror
146652,Movies / TV / Radio theme
146652,Science Fiction
127023,Ancient
127023,Fantasy
127023,Mythology
127023,Wargame
2511,Deduction
2511,Murder / Mystery
2511,Novel-based
2511,Post-Napoleonic
283948,Dice
283948,Economic
283948,Medieval
283948,Travel
54043,Arabian
54043,Card Game
54043,Economic
103885,Aviation / Flight
103885,Bluffing
103885,Collectible Components
103885,Miniatures
103885,Movies / TV / Radio theme
103885,Science Fiction
103885,Wargame
316377,Ancient
316377,Card Game
316377,City Building
316377,Civilization
316377,Economic
244522,Dice
244522,Number
265188,City Building
265188,Economic
265188,Farming
265188,Territory Building
233398,Exploration
233398,Nautical
233398,Renaissance
329082,Card Game
329082,Fighting
329082,Science Fiction
350184,Animals
350184,Card Game
350184,Environmental
283355,Bluffing
283355,Fighting
283355,Negotiation
283355,Novel-based
283355,Political
283355,Science Fiction
283355,Wargame
233867,City Building
339789,City Building
339789,Science Fiction
339789,Space Exploration
420033,Adventure
420033,Exploration
420033,Fantasy
420033,Science Fiction
356080,Adventure
356080,Dice
356080,Exploration
356080,Fantasy
356080,Video Game Theme
314491,Animals
314491,Card Game
314491,Environmental
314491,Puzzle
332686,Economic
332686,Educational
332686,Negotiation
332686,Political
43111,Fantasy
43111,Fighting
43111,Horror
43111,Mythology
43111,Wargame
188920,Adventure
188920,Exploration
188920,Mature / Adult
188920,Modern Warfare
188920,Video Game Theme
374173,Card Game
374173,Fighting
374173,Movies / TV / Radio theme
374173,Science Fiction
9609,Adventure
9609,Fantasy
9609,Fighting
9609,Novel-based
9609,Territory Building
9609,Wargame
10630,Miniatures
10630,Wargame
10630,World War II
118,Card Game
118,Economic
227224,Dice
227224,Economic
199561,Abstract Strategy
199561,Dice
199561,Puzzle
242302,Dice
242302,Science Fiction
242302,Space Exploration
416851,Card Game
416851,Medieval
256680,Adventure
256680,Electronic
256680,Fantasy
256680,Fighting
104162,Adventure
104162,Exploration
104162,Fantasy
104162,Fighting
104162,Miniatures
342070,Dice
342070,Fighting
342070,Miniatures
342070,Racing
39463,Bluffing
39463,Negotiation
39463,Science Fiction
39463,Space Exploration
25021,Civil War
25021,Pike and Shot
25021,Wargame
299659,Ancient
299659,City Building
299659,Civilization
299659,Economic
299659,Territory Building
155426,Post-Napoleonic
155426,Puzzle
300531,Card Game
300531,Exploration
300531,Prehistoric
188,Abstract Strategy
128882,Bluffing
128882,Card Game
128882,Deduction
128882,Fantasy
128882,Medieval
128882,Negotiation
128882,Party Game
128882,Spies / Secret Agents
103343,Bluffing
103343,Fantasy
103343,Negotiation
103343,Novel-based
103343,Political
103343,Wargame
31627,Trains
822,Medieval
822,Territory Building
287954,Abstract Strategy
287954,Puzzle
17133,Trains
17133,Transportation
17133,Video Game Theme
282524,Horror
282524,Movies / TV / Radio theme
148228,Card Game
148228,Economic
148228,Renaissance
70149,City Building
70149,Economic
70149,Industry / Manufacturing
70149,Medieval
70149,Religious
70149,Territory Building
171131,Deduction
171131,Fighting
171131,Modern Warfare
171131,Nautical
171131,Real-time
104006,Economic
104006,Farming
104006,Medieval
269207,Card Game
269207,Dice
269207,Medieval
123260,City Building
123260,Economic
215,Card Game
14105,Ancient
14105,Wargame
150376,Bluffing
150376,Deduction
150376,Horror
150376,Science Fiction
150376,Zombies
285967,Ancient
285967,Fantasy
285967,Fighting
285967,Mythology
285967,Wargame
241451,Card Game
241451,Fantasy
241451,Science Fiction
293014,Card Game
293014,Fantasy
293014,Mythology
385761,Card Game
385761,Fantasy
385761,Puzzle
367220,Animals
367220,Card Game
9209,Trains
7854,Abstract Strategy
400366,Fantasy
165722,Action / Dexterity
165722,Real-time
367150,Dice
367150,Movies / TV / Radio theme
367150,Novel-based
367150,Science Fiction
367150,Wargame
91,Wargame
91,World War I
245638,Dice
245638,Renaissance
182631,Card Game
182631,Fighting
182631,Science Fiction
306735,Dice
306735,Science Fiction
188834,Bluffing
188834,Card Game
188834,Deduction
188834,Humor
188834,Party Game
188834,Political
188834,Print & Play
188834,Spies / Secret Agents
260605,Animals
260605,Arabian
260605,Dice
260605,Racing
295486,City Building
283155,Abstract Strategy
283155,Animals
283155,Puzzle
54998,Ancient
54998,City Building
54998,Civilization
54998,Fighting
54998,Mythology
54998,Nautical
329839,Party Game
329839,Word Game
126042,Card Game
126042,Civilization
126042,Economic
223040,Card Game
223040,Fantasy
224037,Card Game
224037,Deduction
224037,Spies / Secret Agents
224037,Word Game
295895,Card Game
295895,Economic
295895,Industry / Manufacturing
295895,Print & Play
146886,Economic
146886,Farming
232832,Card Game
232832,Economic
232832,Fantasy
195421,Adventure
195421,Exploration
195421,Fantasy
195421,Fighting
21050,Wargame
21050,World War II
221194,Animals
221194,Economic
221194,Science Fiction
375459,Economic
375459,Industry / Manufacturing
375459,Mafia
375459,Territory Building
129437,Card Game
129437,Comic Book / Strip
158600,Card Game
158600,Medieval
3,Abstract Strategy
3,Medieval
351913,Renaissance
192291,Card Game
192291,Party Game
232405,Adventure
232405,American West
176189,Adventure
176189,Fantasy
176189,Fighting
176189,Horror
176189,Medieval
176189,Miniatures
176189,Zombies
199478,Racing
199478,Sports
156129,Bluffing
156129,Deduction
156129,Murder / Mystery
156129,Party Game
318977,Deduction
318977,Murder / Mystery
176494,Economic
176494,Territory Building
150145,Card Game
150145,Nautical
150145,Pirates
19857,Ancient
19857,Card Game
19857,City Building
19857,Economic
274637,Card Game
274637,Fantasy
274637,Fighting
274637,Mythology
274637,Novel-based
286096,Civilization
286096,Territory Building
169426,Dice
169426,Fantasy
169426,Medieval
224783,Exploration
224783,Fantasy
311193,Card Game
311193,City Building
311193,Economic
311193,Industry / Manufacturing
311193,Napoleonic
311193,Post-Napoleonic
311193,Video Game Theme
284189,Ancient
284189,City Building
284189,Economic
300322,Animals
300322,Economic
300322,Farming
300322,Industry / Manufacturing
300322,Post-Napoleonic
156546,Card Game
156546,Humor
156546,Mature / Adult
156546,Party Game
156546,Print & Play
555,City Building
555,Renaissance
323612,Fantasy
323612,Mythology
270633,Card Game
270633,Fantasy
270633,Science Fiction
198994,Card Game
198994,Fantasy
198994,Fighting
297562,Ancient
297562,Fighting
297562,Mythology
297562,Wargame
228341,Dice
228341,Science Fiction
228341,Space Exploration
194655,Abstract Strategy
194655,Ancient
194655,Mythology
329500,Medical
329500,Post-Napoleonic
9216,Economic
9216,Farming
9216,Nautical
9216,Renaissance
421,Economic
421,Trains
421,Transportation
277085,Card Game
277085,Deduction
277085,Renaissance
20551,Economic
20551,Medieval
20551,Territory Building
109276,Economic
109276,Industry / Manufacturing
19777,Economic
19777,Industry / Manufacturing
19777,Transportation
31481,Real-time
31481,Science Fiction
31481,Space Exploration
31481,Transportation
230253,Card Game
230253,Fighting
230253,Science Fiction
128621,Economic
128621,Farming
400314,Animals
400314,Science Fiction
400314,Space Exploration
356123,Deduction
356123,Math
356123,Spies / Secret Agents
244271,Card Game
244271,Dice
244271,Fantasy
244271,Fighting
284653,Comic Book / Strip
284653,Deduction
284653,Spies / Secret Agents
349067,Adventure
349067,Card Game
349067,Collectible Components
349067,Fantasy
349067,Novel-based
370591,Environmental
370591,Puzzle
370591,Territory Building
370591,Video Game Theme
127060,Dice
331106,Adventure
331106,Fantasy
331106,Fighting
331106,Novel-based
331106,Travel
331106,Video Game Theme
760,Ancient
760,Card Game
291572,Economic
291572,Fantasy
291572,Negotiation
291572,Political
291572,Territory Building
291572,Wargame
204583,Abstract Strategy
204583,Medieval
204583,Puzzle
204583,Territory Building
140620,Age of Reason
140620,American West
140620,Exploration
298047,Card Game
298047,Comic Book / Strip
298047,Fighting
27708,Political
27708,Wargame
2655,Abstract Strategy
2655,Animals
206718,Fantasy
318184,Ancient
318184,Card Game
318184,Civilization
246784,Deduction
305096,Adventure
305096,Prehistoric
305096,Territory Building
144344,Age of Reason
144344,Economic
223321,Deduction
223321,Murder / Mystery
262211,Exploration
262211,Fantasy
262211,Fighting
262211,Video Game Theme
27833,Economic
27833,Trains
27833,Transportation
50,Card Game
50,Exploration
50,Number
239188,Adventure
239188,Deduction
239188,Murder / Mystery
350316,Ancient
350316,Arabian
350316,Exploration
342810,City Building
139976,Fantasy
139976,Fighting
139976,Horror
46213,Humor
46213,Party Game
46213,Real-time
108745,Card Game
108745,Fantasy
92828,Card Game
92828,Humor
92828,Party Game
385529,Card Game
385529,Fantasy
385529,Mythology
332800,Card Game
332800,Fantasy
332800,Fighting
146508,Adventure
146508,Puzzle
146508,Science Fiction
172,Card Game
172,Economic
257499,Adventure
257499,Fighting
257499,Horror
257499,Novel-based
160477,Abstract Strategy
111341,Civilization
111341,Economic
111341,Industry / Manufacturing
111341,Transportation
302723,Adventure
302723,Exploration
302723,Fantasy
302723,Nautical
302723,Pirates
302723,Travel
350933,Adventure
350933,Exploration
350933,Fantasy
333255,Fantasy
333255,Fighting
5,Economic
5,Territory Building
276182,Exploration
276182,Fighting
276182,Pirates
276182,Territory Building
295374,Dice
295374,Racing
295374,Sports
155068,Adventure
155068,Exploration
155068,Fantasy
155068,Fighting
155068,Miniatures
66589,Economic
66589,Exploration
66589,Nautical
66589,Renaissance
129622,Card Game
129622,Deduction
129622,Renaissance
176734,Dice
176734,Economic
176734,Environmental
176734,Industry / Manufacturing
308119,Pike and Shot
308119,Religious
308119,Renaissance
24181,Economic
24181,Nautical
24181,Political
24181,Post-Napoleonic
446497,Party Game
446497,Racing
319966,Medieval
319966,Political
319966,Wargame
97207,Animals
97207,Fantasy
97207,Humor
345972,Animals
345972,Card Game
260180,Abstract Strategy
260180,Puzzle
260180,Video Game Theme
2653,Adventure
2653,Animals
2653,Bluffing
2653,Nautical
311988,City Building
311988,Economic
311988,Exploration
311988,Science Fiction
311988,Video Game Theme
47,City Building
47,Economic
47,Negotiation
38453,Electronic
38453,Real-time
38453,Science Fiction
38453,Space Exploration
54,Adventure
54,Ancient
54,Exploration
54,Territory Building
63888,Card Game
63888,Civilization
379078,Exploration
184921,Animals
184921,Medieval
184921,Territory Building
411567,Card Game
411567,Party Game
234277,Economic
234277,Nautical
209685,Card Game
209685,Economic
209685,Medieval
22545,Civilization
22545,Exploration
22545,Renaissance
22545,Video Game Theme
136888,Card Game
136888,City Building
136888,Economic
136888,Renaissance
143693,City Building
143693,Economic
143693,Industry / Manufacturing
143693,Medieval
227789,Economic
227789,Farming
227789,Industry / Manufacturing
155873,Economic
155873,Industry / Manufacturing
354934,Ancient
354934,City Building
163967,Dice
163967,Print & Play
163967,Science Fiction
163967,Space Exploration
202426,Economic
202426,Negotiation
202426,Real-time
202426,Science Fiction
202426,Space Exploration
245655,Fantasy
245655,Negotiation
245655,Political
154203,Ancient
154203,Card Game
154203,City Building
154203,Civilization
336986,Animals
336986,Card Game
336986,City Building
336986,Fantasy
188866,Card Game
188866,Deduction
188866,Movies / TV / Radio theme
188866,Murder / Mystery
301880,Ancient
54138,Economic
54138,Nautical
54138,Political
181279,Adventure
181279,Deduction
181279,Fighting
181279,Horror
181279,Novel-based
336382,Card Game
336382,Comic Book / Strip
336382,Fighting
187617,Adventure
187617,Exploration
187617,Nautical
187617,Novel-based
187617,Science Fiction
187617,Travel
187617,Wargame
40692,Fantasy
40692,Fighting
40692,Territory Building
93260,Card Game
93260,Fantasy
93260,Fighting
285192,Adventure
285192,Exploration
285192,Fantasy
285192,Fighting
285192,Medieval
219650,Adventure
219650,Exploration
219650,Fantasy
219650,Fighting
318084,Card Game
318084,Economic
318084,Industry / Manufacturing
318084,Post-Napoleonic
48726,Dice
48726,Science Fiction
48726,Space Exploration
271601,Bluffing
271601,Deduction
271601,Fantasy
271601,Nautical
271601,Party Game
271601,Pirates
59294,Adventure
59294,Exploration
59294,Fantasy
59294,Fighting
59294,Wargame
434654,Wargame
203420,Deduction
203420,Puzzle
203420,Real-time
21241,Collectible Components
21241,Fighting
21241,Puzzle
21241,Science Fiction
246192,Card Game
246192,Science Fiction
304420,Fantasy
25292,Adventure
25292,Fighting
25292,Nautical
25292,Pike and Shot
25292,Pirates
25292,Transportation
172081,Exploration
172081,Maze
172081,Print & Play
172081,Spies / Secret Agents
345584,Card Game
345584,Fantasy
345584,Fighting
345584,Science Fiction
384213,Economic
384213,Farming
219513,Animals
219513,Puzzle
247367,Animals
247367,Card Game
247367,Print & Play
247367,World War II
172818,Adventure
172818,City Building
172818,Economic
172818,Exploration
172818,Fantasy
172818,Farming
172818,Negotiation
274638,Card Game
274638,Fantasy
274638,Fighting
274638,Mythology
274638,Novel-based
39856,Card Game
39856,Humor
39856,Party Game
193037,Bluffing
193037,Deduction
193037,Horror
193037,Mature / Adult
193037,Science Fiction
193037,Zombies
77130,City Building
77130,Civilization
77130,Exploration
77130,Negotiation
77130,Video Game Theme
397385,Adventure
397385,Exploration
397385,Nautical
397385,Pirates
176920,Science Fiction
368173,Card Game
368173,Transportation
368173,Travel
128271,City Building
128271,Environmental
128271,Science Fiction
128271,Territory Building
297030,Ancient
297030,Dice
297030,Mythology
372,Card Game
40354,Age of Reason
40354,Bluffing
40354,Negotiation
40354,Political
40354,Wargame
140934,Card Game
140934,Number
45315,Economic
45315,Fantasy
45315,Fighting
45315,Humor
59959,Bluffing
59959,Deduction
59959,Murder / Mystery
59959,Post-Napoleonic
13122,City Building
13122,Civilization
13122,Economic
13122,Environmental
13122,Medieval
70919,Animals
70919,Environmental
70919,Farming
70919,Territory Building
155987,Card Game
155987,Fantasy
155987,Mythology
155987,Nautical
351040,Animals
351040,Party Game
351040,Racing
351040,Real-time
351040,Sports
8217,Card Game
8217,City Building
8217,Economic
199042,Card Game
199042,Fantasy
199042,Movies / TV / Radio theme
199042,Novel-based
246684,Economic
246684,Industry / Manufacturing
245934,Ancient
181304,Deduction
181304,Murder / Mystery
181304,Party Game
181304,Real-time
334986,Card Game
334986,Economic
334986,Educational
334986,Environmental
417197,Environmental
417197,Fantasy
417197,Farming
417197,Science Fiction
90137,Card Game
90137,Fantasy
90137,Fighting
90137,Sports
408180,Science Fiction
408180,Space Exploration
357563,Abstract Strategy
357563,Ancient
357563,City Building
357563,Territory Building
195539,Economic
195539,Mafia
195539,Movies / TV / Radio theme
146439,Fantasy
146439,Miniatures
146439,Wargame
319910,Adventure
319910,Bluffing
319910,Card Game
319910,Deduction
319910,Fantasy
119890,Animals
119890,Farming
303057,Aviation / Flight
303057,Economic
303057,Transportation
318182,Card Game
318182,Civilization
37046,Fantasy
37046,Fighting
37046,Horror
37046,Mythology
315767,Fantasy
315767,Territory Building
334590,Animals
334590,Card Game
334590,Fantasy
334590,Print & Play
41114,Bluffing
41114,Card Game
41114,Deduction
41114,Negotiation
41114,Party Game
41114,Print & Play
41114,Science Fiction
41114,Spies / Secret Agents
436126,Animals
436126,Card Game
436126,Educational
552,Transportation
269210,Dice
269210,Number
24480,Economic
24480,Medieval
24480,Novel-based
24480,Religious
25554,Economic
25554,Renaissance
244711,Age of Reason
244711,Travel
163745,Collectible Components
163745,Miniatures
163745,Movies / TV / Radio theme
163745,Science Fiction
163745,Wargame
290484,Science Fiction
290484,Space Exploration
260428,Ancient
284742,Animals
284742,Economic
177478,Medieval
206480,Age of Reason
206480,American Revolutionary War
206480,Wargame
386368,Ancient
386368,City Building
386368,Religious
385610,City Building
385610,Economic
385610,Medieval
365258,Ancient
365258,Territory Building
234487,Economic
15987,Adventure
15987,Fighting
15987,Horror
15987,Novel-based
39683,Economic
39683,Farming
250458,Medieval
250458,Travel
9217,Age of Reason
9217,Card Game
9217,City Building
9217,Economic
342900,Adventure
342900,Card Game
342900,Environmental
342900,Exploration
342900,Science Fiction
335764,Card Game
335764,Fantasy
335764,Fighting
335764,Horror
335764,Mythology
335764,Novel-based
192458,Card Game
192458,City Building
192458,Economic
192458,Science Fiction
367498,Environmental
367498,Fantasy
367498,Fighting
367498,Mythology
367498,Renaissance
367498,Territory Building
322708,Adventure
322708,Fantasy
322708,Fighting
322708,Miniatures
234,Ancient
234,Political
234,Wargame
222509,Ancient
