row_id,type,name,min_players,max_players,playingtime,minimum_age,release_year,average_rating,num_of_ratings,weight,num_of_weights,bayes_average,std_deviation,language_dependency,owned,trading,wanting,wishing,rank_boardgame
346246,boardgameexpansion,Space Explorers: Age of Ambition,1,4,40,12,2023,7.55645,62,3.0,3,5.55073,1.1039,1: No necessary in-game text,575,3,11,95,
346328,boardgameexpansion,Clever hoch Drei: Challenge I,1,4,20,8,2021,7.70789,236,2.2222,9,5.70667,1.15479,1: No necessary in-game text,896,4,12,65,
346436,boardgameexpansion,Eleven: Stadium Expansion,1,4,120,14,2022,7.47415,163,2.5,2,5.62157,1.48172,1: No necessary in-game text,1512,25,9,30,
346437,boardgameexpansion,Eleven: International Players Expansion,1,4,120,14,2022,7.54897,156,3.0,2,5.61878,1.5005,1: No necessary in-game text,1478,25,11,34,
346438,boardgameexpansion,Eleven: International Cup Expansion,1,4,120,14,2022,7.33003,129,3.0,2,5.58481,1.56959,1: No necessary in-game text,1423,22,10,24,
346439,boardgameexpansion,Eleven: Solo Campaign Expansion,1,1,120,14,2022,7.6775,185,3.0,3,5.65172,1.5221,1: No necessary in-game text,1671,29,16,52,
346618,boardgameexpansion,Spirit Island: Finder unsichtbarer Wege,1,6,120,0,2021,8.77747,182,3.3333,3,5.72839,1.1223,1: No necessary in-game text,1451,4,6,52,
346633,boardgameexpansion,MicroMacro: Crime City – Full House: Another Bank Robbery,1,4,45,10,2021,7.58103,87,1.3333,3,5.57567,1.21292,1: No necessary in-game text,686,34,18,76,
346708,boardgameexpansion,Santa Monica: The Long Weekend,2,4,40,14,2021,7.8232,153,2.0,3,5.6411,1.21427,1: No necessary in-game text,720,12,54,158,
346737,boardgameexpansion,For Glory: Champions Expansion,1,4,120,14,2023,8.22763,152,2.0,2,5.65358,1.28836,1: No necessary in-game text,1021,22,18,40,
346739,boardgameexpansion,Ugly Gryphon Inn: The Little Beak Guesthouse,1,1,20,8,2021,7.15682,44,2.0,1,5.52987,1.25198,1: No necessary in-game text,847,12,4,19,
346845,boardgameexpansion,Dog Park: Famous Dogs Expansion,1,4,80,10,2022,7.43783,255,2.0,3,5.67277,1.26722,3: Moderate in-game text - needs crib sheet or paste ups,2314,42,13,53,
346847,boardgameexpansion,Dog Park: European Dogs Expansion,1,4,80,10,2022,7.35509,267,2.0,3,5.67506,1.28749,3: Moderate in-game text - needs crib sheet or paste ups,2326,42,12,55,
346901,boardgameexpansion,Unsurmountable: Big Climb,1,1,15,8,2021,6.95098,122,1.5,2,5.57285,1.17211,1: No necessary in-game text,1568,20,4,18,
